tau_reset,tau_cycle,f_fix,r,regime,E_tax,tax_ratio,red_line_status
9.999999999999999e-06,0.00111,900.9009009009009,0.09999999999999999,Transport-Limited,0.00111,0.00111,Safe (strong advantage)
2.154434690031882e-05,0.001121544346900319,891.6276942269483,0.2154434690031882,Transitional,0.001121544346900319,0.001121544346900319,Safe (strong advantage)
4.6415888336127825e-05,0.001146415888336128,872.2837934943213,0.46415888336127825,Transitional,0.001146415888336128,0.001146415888336128,Safe (strong advantage)
9.999999999999999e-05,0.0012000000000000001,833.3333333333333,0.9999999999999999,Transitional,0.0012000000000000001,0.0012000000000000001,Safe (strong advantage)
0.00021544346900318823,0.0013154434690031882,760.1999048714547,2.154434690031882,Transitional,0.0013154434690031882,0.0013154434690031882,Safe (strong advantage)
0.00046415888336127773,0.0015641588833612777,639.3212420026434,4.6415888336127775,Transitional,0.0015641588833612777,0.0015641588833612777,Safe (strong advantage)
0.001,0.0021000000000000003,476.19047619047615,10.0,Transitional,0.0021000000000000003,0.0021000000000000003,Safe (strong advantage)
0.002154434690031882,0.003254434690031882,307.2730274978121,21.54434690031882,Reset-Limited,0.003254434690031882,0.003254434690031882,Safe (strong advantage)
0.004641588833612777,0.0057415888336127775,174.1678181735578,46.41588833612777,Reset-Limited,0.0057415888336127775,0.0057415888336127775,Safe (strong advantage)
0.01,0.0111,90.09009009009009,100.0,Reset-Limited,0.0111,0.0111,"Marginal (advantage persists, but small; requires Q3/Q4 tightening)"
0.021544346900318822,0.022644346900318822,44.16113233037957,215.4434690031882,Reset-Limited,0.022644346900318822,0.022644346900318822,"Marginal (advantage persists, but small; requires Q3/Q4 tightening)"
0.046415888336127774,0.04751588833612777,21.04559201179176,464.15888336127773,Reset-Limited,0.04751588833612777,0.04751588833612777,"Marginal (advantage persists, but small; requires Q3/Q4 tightening)"
0.09999999999999999,0.1011,9.891196834817013,999.9999999999999,Reset-Limited,0.1011,0.1011,Red line (>= 0.1; de-scope energy-advantage claim)
