p_transport,threshold,max_modular_cost
0.0,1.0,
0.05,1.0,0.035
0.1,1.0,0.06
0.15,1.0,0.08
0.2,1.0,0.105
0.25,1.0,0.13
0.3,1.0,0.15
0.35,1.0,0.15
0.4,1.0,0.155
0.45,1.0,0.155
0.5,1.0,0.16
0.55,1.0,0.16
0.6,1.0,0.15
0.65,1.0,0.13
0.7,1.0,0.11
0.75,1.0,0.095
0.8,1.0,0.075
0.85,1.0,0.055
0.9,1.0,0.035
0.95,1.0,0.015
1.0,1.0,
0.0,0.8,
0.05,0.8,0.035
0.1,0.8,0.065
0.15,0.8,0.085
0.2,0.8,0.11
0.25,0.8,0.135
0.3,0.8,0.15
0.35,0.8,0.15
0.4,0.8,0.155
0.45,0.8,0.155
0.5,0.8,0.16
0.55,0.8,0.16
0.6,0.8,0.15
0.65,0.8,0.13
0.7,0.8,0.11
0.75,0.8,0.095
0.8,0.8,0.075
0.85,0.8,0.055
0.9,0.8,0.035
0.95,0.8,0.015
1.0,0.8,
0.0,0.5,
0.05,0.5,0.04
0.1,0.5,0.07
0.15,0.5,0.1
0.2,0.5,0.125
0.25,0.5,0.15
0.3,0.5,0.175
0.35,0.5,0.185
0.4,0.5,0.2
0.45,0.5,0.2
0.5,0.5,0.19
0.55,0.5,0.17
0.6,0.5,0.15
0.65,0.5,0.135
0.7,0.5,0.115
0.75,0.5,0.095
0.8,0.5,0.075
0.85,0.5,0.055
0.9,0.5,0.035
0.95,0.5,0.015
1.0,0.5,
