InfoPerCost_mean,InfoPerCost_std,P_sink_D_end_mean,P_sink_D_end_std,P_sink_T_end_mean,P_sink_T_end_std,Selectivity_end_mean,Selectivity_end_std,T_env,Utility_mean,Utility_std,coverage_end_mean,coverage_end_std,epsilon,mode,model,n_trials,precision_end_mean,precision_end_std,throughput_correct_end_mean,throughput_correct_end_std,throughput_net_end_mean,throughput_net_end_std,throughput_total_end_mean,throughput_total_end_std
-0.06351676484908801,1.4628472785736255e-17,0.2703079099584457,0.0,0.23742329853362096,0.0,0.8783438803890038,1.1702778228589004e-16,,-0.032884611424824774,7.314236392868128e-18,0.5077312084920667,0.0,0.0,extended,CRW,10,0.4676161216064597,5.851389114294502e-17,0.0237423298533621,3.657118196434064e-18,-0.0032884611424824767,0.0,0.05077312084920667,0.0
-0.06351676484908801,1.4628472785736255e-17,0.2703079099584457,0.0,0.23742329853362096,0.0,0.8783438803890038,1.1702778228589004e-16,0.1,-0.032884611424824774,7.314236392868128e-18,0.5077312084920667,0.0,0.0,extended,CRW_thermal,10,0.4676161216064597,5.851389114294502e-17,0.0237423298533621,3.657118196434064e-18,-0.0032884611424824767,0.0,0.05077312084920667,0.0
-0.06351676484908801,1.4628472785736255e-17,0.2703079099584457,0.0,0.23742329853362096,0.0,0.8783438803890038,1.1702778228589004e-16,,-0.032884611424824774,7.314236392868128e-18,0.5077312084920667,0.0,1.0,extended,CRW,10,0.4676161216064597,5.851389114294502e-17,0.0237423298533621,3.657118196434064e-18,-0.0032884611424824767,0.0,0.05077312084920667,0.0
-0.07970980270925948,0.3014109344760704,0.13465277935927303,0.04493669179966493,0.12213681325293053,0.06110029062766224,0.9952753820490244,0.6011429338669778,0.1,-0.012515966106342513,0.07485760085676009,0.2567895926122035,0.07682085109744437,1.0,extended,CRW_thermal,10,0.4574924542280064,0.1579665679251318,0.012213681325293052,0.006110029062766224,-0.0012515966106342515,0.007485760085676008,0.02567895926122036,0.007682085109744436
-0.06351676484908801,1.4628472785736255e-17,0.2703079099584457,0.0,0.23742329853362096,0.0,0.8783438803890038,1.1702778228589004e-16,,-0.032884611424824774,7.314236392868128e-18,0.5077312084920667,0.0,2.0,extended,CRW,10,0.4676161216064597,5.851389114294502e-17,0.0237423298533621,3.657118196434064e-18,-0.0032884611424824767,0.0,0.05077312084920667,0.0
0.1277769472851972,0.2520618506592152,0.10939618454324855,0.06121617565453149,0.13933670885562377,0.044472948855217624,1.5441502123643036,0.9009071303089121,0.1,0.029940524312375243,0.06402730957171933,0.24873289339887233,0.08573814969019175,2.0,extended,CRW_thermal,10,0.5661472525995929,0.13222746986203177,0.013933670885562377,0.004447294885521763,0.0029940524312375245,0.006402730957171933,0.024873289339887233,0.008573814969019176
-0.06351676484908801,1.4628472785736255e-17,0.2703079099584457,0.0,0.23742329853362096,0.0,0.8783438803890038,1.1702778228589004e-16,,-0.032884611424824774,7.314236392868128e-18,0.5077312084920667,0.0,3.0,extended,CRW,10,0.4676161216064597,5.851389114294502e-17,0.0237423298533621,3.657118196434064e-18,-0.0032884611424824767,0.0,0.05077312084920667,0.0
0.0688254609072029,0.5081642223896852,0.08570841106166724,0.06502695105624838,0.10734915895703154,0.08593944338251239,2.197664434577318,2.5235609993291384,0.1,0.021640747895364278,0.1168202114547219,0.19305757001869878,0.09788372071396556,3.0,extended,CRW_thermal,10,0.5354007763891564,0.2677483189461944,0.010734915895703152,0.008593944338251239,0.0021640747895364273,0.01168202114547219,0.01930575700186988,0.009788372071396557
-0.06351676484908801,1.4628472785736255e-17,0.2703079099584457,0.0,0.23742329853362096,0.0,0.8783438803890038,1.1702778228589004e-16,,-0.032884611424824774,7.314236392868128e-18,0.5077312084920667,0.0,5.0,extended,CRW,10,0.4676161216064597,5.851389114294502e-17,0.0237423298533621,3.657118196434064e-18,-0.0032884611424824767,0.0,0.05077312084920667,0.0
-0.019938486127675993,0.5526016312452967,0.0951555661394202,0.05836434527348283,0.11106278350376805,0.09486691060093566,1.689012929257229,1.6331778704079156,0.1,0.01590721736434785,0.13487772837566842,0.20621834964318828,0.0813649398731166,5.0,extended,CRW_thermal,10,0.48694168608531296,0.2902772165515829,0.011106278350376805,0.009486691060093566,0.001590721736434785,0.013487772837566843,0.02062183496431883,0.008136493987311661
