kappa,gap
0.01,0.015159817222736738
0.015848931924611134,0.018084283185043848
0.025118864315095794,0.022719249380284443
0.039810717055349734,0.030065175750412794
0.06309573444801933,0.04170768444674744
0.09999999999999999,0.060159817222737576
0.1584893192461114,0.07424145123316356
0.25118864315095807,0.08038709803931277
0.3981071705534973,0.08288120590596751
0.6309573444801932,0.0819918828746714
1.0,0.07789836946315044
1.584893192461114,0.07071411412881022
2.511886431509582,0.06082811594218403
3.9810717055349736,0.04924299795237998
6.309573444801936,0.03749257602601046
10.0,0.027035461377821764
15.848931924611142,0.018677925924808277
25.11886431509582,0.01251140730898654
39.810717055349734,0.008205950936193952
63.095734448019364,0.005307725210556731
100.0,0.0034023045709562693
