noise,transport_gap,transport_norm,memory_frac,fitness_global,fitness_global_tmp
0.01,0.0151598172227367,0.18291019124331037,0.6787101733627088,0.4308101823030096,0.18291019124331037
0.05,0.03582647143120462,0.4322629121956959,0.6597185985275249,0.5459907553616103,0.4322629121956959
0.1,0.060159817222737534,0.7258559593231738,0.5429546375013137,0.6344052984122437,0.7258559593231738
0.2,0.07734592458405157,0.9332142762474287,0.3553686716123269,0.6442914739298777,0.9332142762474287
0.5,0.08244112438465002,0.9946902133420119,0.2925183002690702,0.6436042568055411,0.9946902133420119
1.0,0.0778983694631504,0.9398797786741864,0.29517402418481725,0.6175269014295018,0.9398797786741864
2.0,0.06572020235916536,0.792944572183565,0.2913263092125772,0.5421354406980711,0.792944572183565
5.0,0.04342830140736571,0.5239824992005678,0.2875039799625974,0.40574323958158265,0.5239824992005678
10.0,0.0270354613778217,0.32619531873721364,0.28645676911724716,0.3063260439272304,0.32619531873721364
