w_transport,w_memory,best_global_fitness,best_global_noise,modular_fitness,modular_gain
0.0,1.0,0.6787101733627088,0.01,0.6787101733627088,1.0
0.1,0.9,0.636973029894342,0.05,0.7103081773606391,1.1151306947461521
0.2,0.8,0.6142274612611591,0.05,0.7419061813585694,1.2078687915308357
0.30000000000000004,0.7,0.5978250340478717,0.1,0.7735041853564997,1.2938638252050185
0.4,0.6,0.6161151662300577,0.1,0.8051021893544301,1.3067397679572859
0.5,0.5,0.6442914739298777,0.2,0.8367001933523603,1.2986361409516707
0.6000000000000001,0.3999999999999999,0.7138214481128353,0.5,0.8682981973502908,1.2164081082823348
0.7000000000000001,0.29999999999999993,0.7840386394201294,0.5,0.899896201348221,1.1477702196077724
0.8,0.19999999999999996,0.8542558307274236,0.5,0.9314942053461513,1.0904159759178431
0.9,0.09999999999999998,0.9244730220347177,0.5,0.9630922093440816,1.0417742718163534
1.0,0.0,0.9946902133420119,0.5,0.9946902133420119,1.0
