variant,epsilon,y,y_low,y_high,n_candidates,n_pix
lesion_KC_MBON,0,0.01057400009074344,0.007429572335664825,0.012267153497324268,1,8
lesion_KC_MBON,1,0.17432612241291615,0.1612646532764356,0.18255001038773722,2,321
lesion_KC_MBON,2,0.28075290796942426,0.27204526187843725,0.30445705566155556,2,378
lesion_KC_MBON,3,0.2599513089742886,0.24640608172164208,0.27349653622693504,1,288
lesion_KC_MBON,5,0.0601592069977529,0.055805383952259424,0.068383094972574,1,269
original,0,0.007187693277581841,0.0040432655225032255,0.010815879148826424,1,40
original,1,0.16029713704410373,0.12449903644782373,0.2318933382366637,2,1056
original,2,0.20625415807986858,0.1506219747207848,0.291879344641241,2,1290
original,3,0.20528664184753667,0.1496544584884529,0.291879344641241,2,1304
original,5,0.03742257553795347,-0.0003105575229903068,0.055805383952259424,2,648
rewired_type,0,0.0001732005931756042,-0.0041806224523178726,0.006945814219498858,1,253
rewired_type,1,0.09208724266470536,0.061126723230084834,0.12353152021549182,1,741
rewired_type,2,0.12498279456398967,0.1003111306395264,0.1496544584884529,1,613
rewired_type,3,0.13223916630647886,0.11627514847300263,0.14868694225612103,1,471
rewired_type,5,0.07515570859889725,0.06257799757858262,0.08724966150304592,1,377
